id|record_type|cameo_title|compare_strings
58ce47e1fea250209c0a25a4|Cameo.Phoenix.agents|CONTAINER_SHIP|container+ship
58ce47e1fea250209c0a25a5|Cameo.Phoenix.agents|CONTAINER_VESSEL|container+vessel
58ce47e1fea250209c0a25a6|Cameo.Phoenix.agents|CORPORATE_EXECUTIVE|corporate+executive
58ce47e1fea250209c0a25a7|Cameo.Phoenix.agents|CORPORATION|corporation
58ce47e1fea250209c0a25a8|Cameo.Phoenix.agents|CREDIT_UNION|credit+union
58ce47e1fea250209c0a25a9|Cameo.Phoenix.agents|DEFENCE_INDUSTRY|defence+industry
58ce47e1fea250209c0a25aa|Cameo.Phoenix.agents|DEFENSE_INDUSTRY|defense+industry
58ce47e1fea250209c0a25ab|Cameo.Phoenix.agents|DEFENCE_CONTRACTOR|defence+contractor
58ce47e1fea250209c0a25ac|Cameo.Phoenix.agents|DEFENSE_CONTRACTOR|defense+contractor
58ce47e1fea250209c0a25ad|Cameo.Phoenix.agents|ELECTRONICS_MAKER|electronics+maker
58ce47e1fea250209c0a25ae|Cameo.Phoenix.agents|EMPLOYER|employer
58ce47e1fea250209c0a25af|Cameo.Phoenix.agents|ENERGY_CORP|energy+corp
58ce47e1fea250209c0a25b0|Cameo.Phoenix.agents|ENTERPRENEUR|enterpreneur
58ce47e1fea250209c0a25b1|Cameo.Phoenix.agents|ENTREPRENEUR|entrepreneur
58ce47e1fea250209c0a25b2|Cameo.Phoenix.agents|EXPORTER|exporter
58ce47e1fea250209c0a25b3|Cameo.Phoenix.agents|FREIGHTER|freighter
58ce47e1fea250209c0a25b4|Cameo.Phoenix.agents|FURNITURE_MAKER|furniture+maker
58ce47e1fea250209c0a25b5|Cameo.Phoenix.agents|GAS_CORP|gas+corp
58ce47e1fea250209c0a25b6|Cameo.Phoenix.agents|GENERAL_CONTRACTOR|general+contractor
58ce47e1fea250209c0a25b7|Cameo.Phoenix.agents|HOLDING_COMPANY|holding+company
58ce47e1fea250209c0a25b8|Cameo.Phoenix.agents|INDUSTRY|industry
58ce47e1fea250209c0a25b9|Cameo.Phoenix.agents|INVESTOR|investor
58ce47e1fea250209c0a25ba|Cameo.Phoenix.agents|JUMBOJET|jumbojet
58ce47e1fea250209c0a25bb|Cameo.Phoenix.agents|JUMBO_JET|jumbo+jet
58ce47e1fea250209c0a25bc|Cameo.Phoenix.agents|LANDLORD|landlord
58ce47e1fea250209c0a25bd|Cameo.Phoenix.agents|LEADING_BANK|leading+bank
58ce47e1fea250209c0a25be|Cameo.Phoenix.agents|MANAFACTURE|manafacture
58ce47e1fea250209c0a25bf|Cameo.Phoenix.agents|MANUFACTURER|manufacturer
58ce47e1fea250209c0a25c0|Cameo.Phoenix.agents|MERCHANDISER|merchandiser
58ce47e1fea250209c0a25c1|Cameo.Phoenix.agents|MERCHANT|merchant
58ce47e1fea250209c0a25c2|Cameo.Phoenix.agents|MERCHANT_SHIP|merchant+ship
58ce47e1fea250209c0a25c3|Cameo.Phoenix.agents|MERCHANT_VESSEL|merchant+vessel
58ce47e1fea250209c0a25c4|Cameo.Phoenix.agents|MONGER|monger
58ce47e1fea250209c0a25c5|Cameo.Phoenix.agents|OILER|oiler
58ce47e1fea250209c0a25c6|Cameo.Phoenix.agents|OIL_CORP|oil+corp
58ce47e1fea250209c0a25c7|Cameo.Phoenix.agents|OIL_GROUP|oil+group
58ce47e1fea250209c0a25c8|Cameo.Phoenix.agents|OIL_TANKER|oil+tanker
58ce47e1fea250209c0a25c9|Cameo.Phoenix.agents|OWNERS_OF_PRIVATE_COMPANIES|owners+of+private+companies
58ce47e1fea250209c0a25ca|Cameo.Phoenix.agents|PRIVATE_BANK|private+bank
58ce47e1fea250209c0a25cb|Cameo.Phoenix.agents|PRODUCER|producer
58ce47e1fea250209c0a25cc|Cameo.Phoenix.agents|SAVINGS_AND_LOAN|savings+and+loan
58ce47e1fea250209c0a25cd|Cameo.Phoenix.agents|SECURITIES_EXCHANGE|securities+exchange
58ce47e1fea250209c0a25ce|Cameo.Phoenix.agents|SHOP_OWNER|shop+owner
58ce47e1fea250209c0a25cf|Cameo.Phoenix.agents|STEELMAKER|steelmaker
58ce47e1fea250209c0a25d0|Cameo.Phoenix.agents|STEELWORKER|steelworker
58ce47e1fea250209c0a25d1|Cameo.Phoenix.agents|STEEL_TYCOON|steel+tycoon
58ce47e1fea250209c0a25d2|Cameo.Phoenix.agents|SUPERTANKER|supertanker
58ce47e1fea250209c0a25d3|Cameo.Phoenix.agents|TANKER|tanker
58ce47e1fea250209c0a25d4|Cameo.Phoenix.agents|TOP_EXECUTIVE|top+executive
58ce47e1fea250209c0a25d5|Cameo.Phoenix.agents|TOURISM_INDUSTRY|tourism+industry
58ce47e1fea250209c0a25d6|Cameo.Phoenix.agents|TOURISM_OFFICE|tourism+office
58ce47e1fea250209c0a25d7|Cameo.Phoenix.agents|TRADER|trader
58ce47e1fea250209c0a25d8|Cameo.Phoenix.agents|TRANSPORT_COMPAN|transport+compan
58ce47e1fea250209c0a25d9|Cameo.Phoenix.agents|TYCOON|tycoon
58ce47e1fea250209c0a25da|Cameo.Phoenix.agents|WAITER|waiter
58ce47e1fea250209c0a25db|Cameo.Phoenix.agents|WAITRESS|waitress
58ce47e1fea250209c0a25dc|Cameo.Phoenix.agents|ARCHBISHOP|archbishop
58ce47e1fea250209c0a25dd|Cameo.Phoenix.agents|ARCHIMANDRITE|archimandrite
58ce47e1fea250209c0a25de|Cameo.Phoenix.agents|ANGLICAN|anglican
58ce47e1fea250209c0a25df|Cameo.Phoenix.agents|ARCHDIOCESE|archdiocese
58ce47e1fea250209c0a25e0|Cameo.Phoenix.agents|ARCHPRIEST|archpriest
58ce47e1fea250209c0a25e1|Cameo.Phoenix.agents|BISHOP|bishop
58ce47e1fea250209c0a25e2|Cameo.Phoenix.agents|CATHOLIC_BISHOP|catholic+bishop
58ce47e1fea250209c0a25e3|Cameo.Phoenix.agents|CATHOLIC_MISSIONARY|catholic+missionary
58ce47e1fea250209c0a25e4|Cameo.Phoenix.agents|CATHOLIC_MONASTARY|catholic+monastary
58ce47e1fea250209c0a25e5|Cameo.Phoenix.agents|CATHOLIC_MONK|catholic+monk
58ce47e1fea250209c0a25e6|Cameo.Phoenix.agents|CATHOLIC_PRIEST|catholic+priest
58ce47e1fea250209c0a25e7|Cameo.Phoenix.agents|CATHOLIC_SAINT|catholic+saint
58ce47e1fea250209c0a25e8|Cameo.Phoenix.agents|CHRISTIAN|christian
58ce47e1fea250209c0a25e9|Cameo.Phoenix.agents|CHRISTIAN_CLERGY!PERSON!|christian+clergy!person!
58ce47e1fea250209c0a25ea|Cameo.Phoenix.agents|CHRISTIAN_CLERGY|christian+clergy
58ce47e1fea250209c0a25eb|Cameo.Phoenix.agents|CHRISTIAN_MISSIONARY|christian+missionary
58ce47e1fea250209c0a25ec|Cameo.Phoenix.agents|CHRISTIAN_MONASTARY|christian+monastary
58ce47e1fea250209c0a25ed|Cameo.Phoenix.agents|CHRISTIAN_MONK|christian+monk
58ce47e1fea250209c0a25ee|Cameo.Phoenix.agents|CHRISTIAN_PRIEST|christian+priest
58ce47e1fea250209c0a25ef|Cameo.Phoenix.agents|DIOCESE|diocese
58ce47e1fea250209c0a25f0|Cameo.Phoenix.agents|HIERARCH|hierarch
58ce47e1fea250209c0a25f1|Cameo.Phoenix.agents|HIGH_PRIEST|high+priest
58ce47e1fea250209c0a25f2|Cameo.Phoenix.agents|MARONITE|maronite
58ce47e1fea250209c0a25f3|Cameo.Phoenix.agents|METHODIST_CHURCH|methodist+church
58ce47e1fea250209c0a25f4|Cameo.Phoenix.agents|PRELATE|prelate
58ce47e1fea250209c0a25f5|Cameo.Phoenix.agents|PROTESTANT_MISSIONARY|protestant+missionary
58ce47e1fea250209c0a25f6|Cameo.Phoenix.agents|UNITARIAN|unitarian
58ce47e1fea250209c0a25f7|Cameo.Phoenix.agents|ANTI-DRUG_AGENT|anti-drug+agent
58ce47e1fea250209c0a25f8|Cameo.Phoenix.agents|ANTI_RIOT_POLICE|anti+riot+police
58ce47e1fea250209c0a25f9|Cameo.Phoenix.agents|ARMED_BORDER_PATROL|armed+border+patrol
58ce47e1fea250209c0a25fa|Cameo.Phoenix.agents|ARMED_POLICE|armed+police
58ce47e1fea250209c0a25fb|Cameo.Phoenix.agents|ARMED_RIOT_POLICE|armed+riot+police
58ce47e1fea250209c0a25fc|Cameo.Phoenix.agents|BORDER_PATROL|border+patrol
58ce47e1fea250209c0a25fd|Cameo.Phoenix.agents|BORDER_PATROL_AGENT|border+patrol+agent
58ce47e1fea250209c0a25fe|Cameo.Phoenix.agents|BORDER_PATROL_POLICE|border+patrol+police
58ce47e1fea250209c0a25ff|Cameo.Phoenix.agents|BORDER_PATROL_UNIT|border+patrol+unit
58ce47e1fea250209c0a2600|Cameo.Phoenix.agents|CENTRAL_JAIL_AUTHORITY|central+jail+authority
58ce47e1fea250209c0a2601|Cameo.Phoenix.agents|CENTRAL_JAIL_OF|central+jail+of
58ce47e1fea250209c0a2602|Cameo.Phoenix.agents|CONSTABLE|constable
58ce47e1fea250209c0a2603|Cameo.Phoenix.agents|CORRECTIONAL_INSTITUTION|correctional+institution
58ce47e1fea250209c0a2604|Cameo.Phoenix.agents|COUNTER_DRUGS_EXPERT|counter+drugs+expert
58ce47e1fea250209c0a2605|Cameo.Phoenix.agents|COUNTER_DRUG_EXPERT|counter+drug+expert
58ce47e1fea250209c0a2606|Cameo.Phoenix.agents|COUNTER_NARCOTICS_OFFICER|counter+narcotics+officer
58ce47e1fea250209c0a2607|Cameo.Phoenix.agents|CRIMINAL_INVESTIGATOR|criminal+investigator
58ce47e1fea250209c0a2608|Cameo.Phoenix.agents|CRIMINAL_POLICE|criminal+police
58ce47e1fea250209c0a2609|Cameo.Phoenix.agents|DEPUTY|deputy
58ce47e1fea250209c0a260a|Cameo.Phoenix.agents|DETECTIVE|detective
58ce47e1fea250209c0a260b|Cameo.Phoenix.agents|DRUG_ENFORCEMENT|drug+enforcement
58ce47e1fea250209c0a260c|Cameo.Phoenix.agents|FEDERAL_POLICE|federal+police
58ce47e1fea250209c0a260d|Cameo.Phoenix.agents|GENDARMERY|gendarmery
58ce47e1fea250209c0a260e|Cameo.Phoenix.agents|HEAD_OF_NATIONAL_POLICE|head+of+national+police
58ce47e1fea250209c0a260f|Cameo.Phoenix.agents|HOMICIDE_DETECTIVE|homicide+detective
58ce47e1fea250209c0a2610|Cameo.Phoenix.agents|INVESTIGATIVE_AGENCY|investigative+agency
