101,thomas+mangani,101.8571429,107,73,43,116,0
102,????????????+??????,1028.052632,1084,1050,43,1093,0
103,t0gay+kom0tan?,119.2142857,110.5,262,43,305,0
104,chris+o'neills,98.35714286,106.5,76,39,115,0
105,??????+???????,1008.071429,1082.5,1046,43,1089,0
106,khwaja+mohammad+asif,98.55,104,76,43,119,0
107,holger+krahmer,102.1428571,105.5,71,43,114,0
108,man0el+it0rra,103.6923077,109,74,43,117,0
109,??????????,12491.8,12494,73,12450,12523,0
110,natalia+lyssowa,103.9333333,108,78,43,121,0
111,eva+kr0se,101.4444444,107,75,43,118,0
112,casimiro+garcia-abadillo,99.25,104,72,43,115,0
113,hassan+el+t0rabi,98.75,104.5,74,43,117,0
114,jelle+goes,99.7,104.5,72,43,115,0
115,th?o+klein,113.8,107.5,190,43,233,0
116,tobias+arwidsson,104.4375,110.5,76,43,119,0
117,???+?????,1336.222222,1497,1468,43,1511,0
118,riccardo+ehrmann,101.6875,104.5,71,43,114,0
119,ragnar+kvennod,102.5,108.5,75,43,118,0
120,stephane+gicq0el,102.8125,104.5,74,43,117,0
121,jens+chr,99,105,72,43,115,0
122,stefano+marangoni,103,109,73,43,116,0
123,alain-michel+ceretti,99.15,104.5,73,43,116,0
124,philippe+hervie0,103.875,105,75,43,118,0
125,vladimir+petkovi?,111.7647059,108,188,43,231,0
126,nilda+copa,98.2,102.5,69,43,112,0
127,jos?+geraldo,111.8333333,107,190,43,233,0
128,kla0s-dieter+ma0bach,99.5,102.5,74,43,117,0
129,??£???,24824.16667,28425,35430,183,35613,0
130,calvin+klein+jeans,99.05555556,105.5,75,43,118,0
131,scheiring+gˇbor,110,105,182,43,225,0
132,marc0s+mittermeier,104.7222222,109,74,43,117,0
133,hassay+zsõfia,113.5384615,105,200,43,243,0
134,khaled+ben+m0stafa,98.05555556,101.5,74,43,117,0
135,c0mh0riyeti+anayasas?n?,122.6086957,110,262,43,305,0
136,l0is+tristˇn,115.75,114.5,182,43,225,0
137,kim+s0l+song,98.83333333,108.5,74,43,117,0
138,hendrik+ilves,102.3846154,105,75,43,118,0
139,a0brey+mcclendon,102.375,104.5,78,43,121,0
140,fiom+cgil+lombardia,98.26315789,105,71,43,114,0
141,??????+?????,996.9166667,1079,1059,43,1102,0
142,g?ran+jansson,113.6153846,110,203,43,246,0
